SampleID,SampleType,Date,GeneralLoc,Latitude,Longitude,ResidentMi,Collector,Clusters,AreaCollar,Elevm,RASTERVALU
1,pellets,5/7/2014,Pattee Canyon,46.86895,-113.9104,Mig,RD/MB,0, ,1164.76,3
2,pellets,5/7/2014,Ski area,46.708717,-114.114833,Res,RD/MB,0, ,1286.39,3
3,pellets,5/7/2014,Burnt Fork fields,46.466084,-113.938984,Res,TH/CJ,0, ,1297.7,7
4,pellets,5/8/2014,Kolb field,46.70755,-114.06918,Res,TH,0, ,966.14,2
5,pellets,5/22/2014,Ski area,46.70373,-114.103567,Res,"CJ, TH, EF, JM, MB",8,"34906, 34914, 34919",1117.37,3
6,pellets,5/22/2014,MPG,46.7069,-114.03976,Res,"JMM, EF, MB",11,"34921, 34928, 34932",975.23,2
7,pellets,5/22/2014,BF upland meadow,46.420339,-113.940455,Res,"TH, CJ",12,NA - based on observation,1590.1,2
8,pellets,5/22/2014,Burnt Fork fields,46.465644,-113.939794,Res,CJ,8,"34903, 34908, 34913",1294.8,7
9,pellets,6/4/2014,Ski area,46.68795,-114.10985,Res,"EF, MB, JS, JM",10,"34906, 34914, 34919",1212.55,3
10,pellets,6/4/2014,Burnt Fork ridge,46.4431,-113.92924,Res,"CJ, TH",10,"34907, 34908, 34926",1580.22,2
11,pellets,6/4/2014,BF forest,46.49705,-113.92995,Res,"CJ, TH",11,n/a,1544.04,3
12,pellets,6/6/2014,MPG sainfoin,46.70649,-114.03998,Res,TH,11,34915,978.81,6
13,pellets,6/18/2014,Ski area,46.70661,-114.09929,Res,"JMM, MB, EF",10,34914,1066.48,6
14,pellets,6/18/2014,Sapphire floodplain,46.7151,-114.05221,Res,"JMM, MB, EF",10,"34915, 34928, 34932",964.77,2
15,pellets,6/18/2014,Deer Creek,46.84587,-113.87551,Mig,"JMM, MB, EF",12,"34923, 34938",1171.84,3
16,pellets,6/18/2014,Burnt Fork,46.50175,-113.92716,Res,"CJ, TH",11,n/a,1563.49,3
17,pellets,6/19/2014,MPG floodplain,46.70725,-114.03912,Res,"JMM, MB, EF",10,"34921, 34932",975.48,6
18,pellets,6/19/2014,MPG - Wirespool Jct,46.71947,-113.99387,Res,"JMM, MB, EF",9,n/a,1528.21,3
19,pellets,7/1/2014,Ski area,46.69303,-114.10265,Res,"JMM, MB, EF",10,"34914,  34919",1117.55,2
20,pellets,7/1/2014,MPG Ranch,46.71148,-114.04081,Res,"JMM, MB, EF",10,"34915, 34916, 34928, 34930, 34936",975.89,6
21,pellets,7/1/2014,Sapphire river bottom,46.70735,-114.05083,Res,"JMM, MB, EF",12,34932,965.14,2
22,pellets,7/1/2014,Deer Creek,46.8241,-113.90193,Mig,"JMM, MB, EF",10,"34912, 34941",1525.55,3
23,pellets,7/1/2014,Burnt Fork,46.47472,-113.90409,Res,"CJ, TH",9,n/a,1790.3,3
24,pellets,7/14/2014,8 Mile Creek,46.67875,-113.83029,Mig,"JMM, MB",10,"34925, 34939",2076.31,3
25,pellets,7/14/2014,Deer Creek,46.82145,-113.90024,Mig,"TH, JS",12,"34912, 34923, 34938, 34941",1471.98,3
26,pellets,7/15/2014,Bolin Ranch,46.5397,-113.9413,Res,TH,13,"34904, 34918",1231.03,6
27,pellets,7/15/2014,Davis Creek,46.74208,-113.97933,Mig,TH,12,"34915, 34916, 34934, 34936",1336.52,4
28,pellets,7/30/2014,MPG sainfoin,46.70837,-114.03807,Res,TH,11,"34905, 34916, 34936",988.42,6
29,pellets,7/30/2014,Ski area,46.69172,-114.10612,Res,TH,10,"34906, 34914, 34919",1154.55,3
30,pellets,7/31/2014,Eightmile,46.66803,-113.95937,Res,TH,18,"34917, 34925, 34933",1274.77,2
31,pellets,7/31/2014,Davis Point,46.71269,-113.94581,Mig,CJ,18,"34921, 34928, 34932, 34934",1694.03,3
32,pellets,8/14/2014,MPG alfalfa,46.6859,-114.03638,Res,TH,13,"34915, 34916, 34921, 34928, 34932, 34934, 34936",1004.17,7
33,pellets,8/14/2014,Maclay/ski area,46.72954,-114.10205,Res,TH,15,"34906, 34919, 34935",1163.87,3
34,pellets,8/14/2014,Allen Creek,46.78749,-113.84583,Mig,CJ,10,NA,1719.55,3
35,pellets,8/15/2014,Eightmile,46.66786,-113.95663,Res,TH,20,"34917, 34925, 34933",1345.96,3
36,pellets,8/27/2014,Sawmill Creek,46.45443,-113.87969,Mig,CJ,9,"34903, 34907, 34913",1919.02,3
37,pellets,8/27/2014,MPG alfalfa,46.68645,-114.03596,Res,"TH, KP",6,"34905, 34915, 34916, 34921, 34928, 34932, 34934, 34936",1009.5,7
38,pellets,8/27/2014,Ski area,46.70657,-114.11369,Res,"TH, KP",15,"34906, 34914, 34919",1284.95,3
39,pellets,8/29/2014,Allen Creek,46.80849,-113.87782,Mig,CJ,15,34912,1832.26,6
40,pellets,9/10/2014,Burnt Fork,46.47142,-113.94802,Res,CJ,10,"34904, 34940",1279.39,6
41,pellets,9/11/2014,MPG,46.6701,-114.01886,Res,CJ,11,"34905, 34915, 34916, 34921, 34928, 34930, 34932",1057.63,7
42,pellets,9/12/2014,Ski area,46.69145,-114.12659,Res,TH,11,"34906, 34914, 34919",1605.13,3
43,pellets,9/12/2014,TNC/Buckboard,46.68916,-113.949,Mig,TH,11,"34917, 34925",1548.04,4
44,pellets,9/25/2014,Burnt Fork - Alder Cr,46.46552,-113.84045,Mig,CJ,11,34929,2009.79,3
45,pellets,9/25/2014,Head of Allen Creek,46.76622,-113.83851,Mig,CJ,10,NA,1884.22,3
46,pellets,9/26/2014,Ski area,46.6886,-114.12859,Res,TH,12,34914,1659.19,3
47,pellets,9/26/2014,MPG,46.7062,-113.99543,Res,TH,13,"34916, 34928, 34930",1539.57,3
48,pellets,10/9/2014,Corley Gulch,46.44165,-113.93928,Res,CJ,10,34907,1543.54,3
49,pellets,10/9/2014,Allen Creek,46.77915,-113.82232,Mig,CJ,10,34920,1385.71,3
50,pellets,10/9/2014,River bottom (Sapphire Ranch),46.72793,-114.05669,Res,TH,5,"34905, 34915, 34916, 34921, 34930, 34932, 34934, 34936",963.7,2
51,pellets,10/10/2014,Ski area,46.68783,-114.11618,Res,TH,15,"34914, 34935",1343.18,3
